YEAR,RANGE_CATEGORY,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL,FUEL CONSUMPTION,KMXGALON,EMISSIONS
2004,MID_RANGE,TRUCK_VAN,3.0,6,X,13.5,38.62416,271
2004,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,12.7,41.84284,246
2004,HIGH_RANGE,SUV_CROSSOVER,5.0,8,Z,18.7,27.35878,391
2004,HIGH_RANGE,MIDSIZE_FULLSIZE,5.0,8,Z,15.0,35.40548,294
2004,MID_RANGE,SEDAN_COMPACT,1.6,4,Z,8.3,62.76426,166
2004,MID_RANGE,SEDAN_COMPACT,1.6,4,Z,9.5,56.3269,186
2004,MID_RANGE,SEDAN_COMPACT,3.0,6,Z,11.7,46.67086,228
2004,MID_RANGE,SUV_CROSSOVER,3.8,6,Z,13.9,37.01482,281
2004,MID_RANGE,MIDSIZE_FULLSIZE,3.5,6,X,11.9,45.06152,230
2004,MID_RANGE,SUV_CROSSOVER,3.5,6,X,14.4,35.40548,299
2004,LOW_RANGE,TRUCK_VAN,3.4,6,X,13.7,38.62416,274
2004,MID_RANGE,SEDAN_COMPACT,3.4,6,X,11.0,49.88954,209
2004,LOW_RANGE,SEDAN_COMPACT,2.0,4,Z,11.5,46.67086,221
2004,LOW_RANGE,SEDAN_COMPACT,2.0,4,Z,10.9,49.88954,212
2004,MID_RANGE,SUV_CROSSOVER,3.5,6,X,11.9,45.06152,232
2004,MID_RANGE,SUV_CROSSOVER,2.5,4,X,10.9,46.67086,221
2004,MID_RANGE,WAGON_SPECIALTY,2.5,4,X,10.6,49.88954,212
2004,MID_RANGE,WAGON_SPECIALTY,2.5,4,X,11.2,46.67086,221
2004,MID_RANGE,SEDAN_COMPACT,2.5,4,X,11.5,46.67086,225
2004,MID_RANGE,SUV_CROSSOVER,4.0,6,X,13.7,37.01482,285
2004,MID_RANGE,SEDAN_COMPACT,3.3,6,X,11.5,46.67086,223
2004,MID_RANGE,WAGON_SPECIALTY,1.8,4,Z,9.5,54.71756,191
2004,MID_RANGE,SUV_CROSSOVER,2.4,4,X,10.7,48.2802,218
2004,MID_RANGE,TRUCK_VAN,3.4,6,X,14.6,35.40548,301
2004,MID_RANGE,TRUCK_VAN,4.7,8,X,16.6,30.57746,338
2004,MID_RANGE,WAGON_SPECIALTY,1.8,4,Z,9.9,53.10822,198
2004,MID_RANGE,SEDAN_COMPACT,1.8,4,Z,9.6,53.10822,196
2004,MID_RANGE,MIDSIZE_FULLSIZE,1.8,4,Z,11.0,49.88954,212
2004,MID_RANGE,SUV_CROSSOVER,4.2,8,Z,17.3,30.57746,340
2004,MID_RANGE,SEDAN_COMPACT,2.4,5,Z,10.8,49.88954,212
2004,MID_RANGE,MIDSIZE_FULLSIZE,2.9,6,Z,12.6,41.84284,246
2005,HIGH_RANGE,SEDAN_COMPACT,1.7,4,X,7.8,64.3736,161
2005,HIGH_RANGE,MIDSIZE_FULLSIZE,3.2,6,Z,11.8,46.67086,225
2005,HIGH_RANGE,WAGON_SPECIALTY,3.1,6,Z,12.6,43.45218,244
2005,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,12.9,41.84284,248
2005,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,11.7,46.67086,225
2005,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,11.2,48.2802,216
2005,HIGH_RANGE,SEDAN_COMPACT,3.1,6,Z,12.6,43.45218,244
2005,HIGH_RANGE,WAGON_SPECIALTY,3.1,6,Z,13.6,40.2335,260
2005,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,12.7,41.84284,246
2005,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,11.7,46.67086,223
2005,HIGH_RANGE,SUV_CROSSOVER,3.6,6,X,15.4,35.40548,297
2005,MID_RANGE,SEDAN_COMPACT,2.0,4,Z,10.2,49.88954,207
2005,MID_RANGE,SEDAN_COMPACT,6.0,8,Z,12.8,41.84284,246
2005,MID_RANGE,TRUCK_VAN,5.3,8,X,16.2,32.1868,324
2005,MID_RANGE,TRUCK_VAN,4.8,8,X,15.1,33.79614,306
2005,MID_RANGE,MIDSIZE_FULLSIZE,3.5,6,X,13.9,38.62416,269
2005,MID_RANGE,MIDSIZE_FULLSIZE,5.7,8,X,13.9,38.62416,267
2005,MID_RANGE,SEDAN_COMPACT,2.4,4,X,10.4,48.2802,214
2005,MID_RANGE,SUV_CROSSOVER,5.7,8,X,13.9,38.62416,267
2005,MID_RANGE,TRUCK_VAN,3.7,6,X,15.5,33.79614,304
2005,MID_RANGE,SUV_CROSSOVER,3.0,6,X,12.0,43.45218,242
2005,MID_RANGE,SUV_CROSSOVER,4.6,8,X,16.9,30.57746,336
2005,MID_RANGE,SUV_CROSSOVER,4.0,6,X,15.6,33.79614,313
2005,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,11.9,45.06152,232
2005,MID_RANGE,SEDAN_COMPACT,2.0,4,X,9.2,56.3269,186
2005,MID_RANGE,SUV_CROSSOVER,3.0,6,X,11.7,45.06152,232
2005,MID_RANGE,TRUCK_VAN,3.0,6,X,13.3,38.62416,269
2005,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,12.1,43.45218,237
2005,MID_RANGE,WAGON_SPECIALTY,3.0,6,X,12.4,43.45218,244
2005,MID_RANGE,TRUCK_VAN,4.3,6,X,15.6,33.79614,306
2005,MID_RANGE,TRUCK_VAN,3.5,5,X,13.1,41.84284,253
